choteiNendo,UDD012YSeireki,FlexibleYear,,,,,choteiNendo,A
fukaNendo,UDD012YSeireki,FlexibleYear,,,,,fukaNendo,A
tsuchishoNo,DbUDD008TsuchishoNo,TsuchishoNo,,,,,tsuchishoNo,A
rirekiNo,int2,int,,,,,rirekiNo,A
hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,hihokenshaNo,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,shikibetsuCode,A
setaiCode,UDD051SetaiCode,SetaiCode,,,,,setaiCode,A
setaiInsu,int2,int,,,,,setaiInsu,A
shikakuShutokuYMD,UDD015YMD,FlexibleDate,,,,,shikakuShutokuYMD,A
shikakuShutokuJiyu,varchar,RString,,,,,shikakuShutokuJiyu,A
shikakuSoshitsuYMD,UDD015YMD,FlexibleDate,,,,,shikakuSoshitsuYMD,A
shikakuSoshitsuJiyu,varchar,RString,,,,,shikakuSoshitsuJiyu,A
seihofujoShurui,varchar,RString,,,,,seihofujoShurui,A
seihoKaishiYMD,UDD015YMD,FlexibleDate,,,,,seihoKaishiYMD,A
seihoHaishiYMD,UDD015YMD,FlexibleDate,,,,,seihoHaishiYMD,A
ronenKaishiYMD,UDD015YMD,FlexibleDate,,,,,ronenKaishiYMD,A
ronenHaishiYMD,UDD015YMD,FlexibleDate,,,,,ronenHaishiYMD,A
fukaYMD,UDD015YMD,FlexibleDate,,,,,fukaYMD,A
kazeiKubun,varchar,RString,,,,,kazeiKubun,A
setaikazeiKubun,varchar,RString,,,,,setaikazeiKubun,A
gokeiShotokuGaku,numeric,Decimal,,,,,gokeiShotokuGaku,A
nenkinShunyuGaku,numeric,Decimal,,,,,nenkinShunyuGaku,A
hokenryoDankai,varchar,RString,,,,,hokenryoDankai,A
hokenryoDankai1,varchar,RString,,,,,hokenryoDankai1,A
nengakuHokenryo1,numeric,Decimal,,,,,nengakuHokenryo1,A
tsukiwariStartYM1,UDD014YM,FlexibleYearMonth,,,,,tsukiwariStartYM1,A
tsukiwariEndYM1,UDD014YM,FlexibleYearMonth,,,,,tsukiwariEndYM1,A
hokenryoDankai2,varchar,RString,,,,,hokenryoDankai2,A
nengakuHokenryo2,numeric,Decimal,,,,,nengakuHokenryo2,A
tsukiwariStartYM2,UDD014YM,FlexibleYearMonth,,,,,tsukiwariStartYM2,A
tsukiwariEndYM2,UDD014YM,FlexibleYearMonth,,,,,tsukiwariEndYM2,A
choteiNichiji,UDD018YMDHMS,YMDHMS,,,,,choteiNichiji,A
choteiJiyu1,varchar,RString,,,,,choteiJiyu1,A
choteiJiyu2,varchar,RString,,,,,choteiJiyu2,A
choteiJiyu3,varchar,RString,,,,,choteiJiyu3,A
choteiJiyu4,varchar,RString,,,,,choteiJiyu4,A
koseiM,varchar,RString,,,,,koseiM,A
gemmenMaeHokenryo,numeric,Decimal,,,,,gemmenMaeHokenryo,A
gemmenGaku,numeric,Decimal,,,,,gemmenGaku,A
kakuteiHokenryo,numeric,Decimal,,,,,kakuteiHokenryo,A
hokenryoDankaiKarisanntei,varchar,RString,,,,,hokenryoDankaiKarisanntei,A
choshuHohoRirekiNo,int2,int,,,,,choshuHohoRirekiNo,A
idoKijunNichiji,UDD018YMDHMS,YMDHMS,,,,,idoKijunNichiji,A
kozaKubun,varchar,RString,,,,,kozaKubun,A
kyokaisoKubun,varchar,RString,,,,,kyokaisoKubun,A
shokkenKubun,varchar,RString,,,,,shokkenKubun,A
fukaShichosonCode,UDD023LasdecCode,LasdecCode,,,,,fukaShichosonCode,A
tkSaishutsuKampuGaku,numeric,Decimal,,,,,tkSaishutsuKampuGaku,A
fuSaishutsuKampuGaku,numeric,Decimal,,,,,fuSaishutsuKampuGaku,A
