shinseishoKanriNo,DbUDD013ShinseishoKanriNo,ShinseishoKanriNo,,,,,shinseishoKanriNo,A
ninteichosaIraiRirekiNo,int2,int,,,,,ninteichosaIraiRirekiNo,A
koroshoIfShikibetsuCode,UDD035Code,Code,,,,,koroshoIfShikibetsuCode,A
ninteichosaItakusakiCode,DbUDD004JigyoshaNo,JigyoshaNo,,,,,ninteichosaItakusakiCode,A
ninteiChosainCode,varchar,RString,,,,,ninteiChosainCode,A
ninteichosaIraiKubunCode,UDD035Code,Code,,,,,ninteichosaIraiKubunCode,A
ninteichosaIraiKaisu,int2,int,,,,,ninteichosaIraiKaisu,A
ninteichosaIraiYMD,UDD015YMD,FlexibleDate,,,,,ninteichosaIraiYMD,A
ninteichosaKigenYMD,UDD015YMD,FlexibleDate,,,,,ninteichosaKigenYMD,A
chosaIraishoShutsuryokuYMD,UDD015YMD,FlexibleDate,,,,,chosaIraishoShutsuryokuYMD,A
chosahyoTouShutsuryokuYMD,UDD015YMD,FlexibleDate,,,,,chosahyoTouShutsuryokuYMD,A
mobileDataShutsuryokuZumiFlag,bool,boolean,,,,,mobileDataShutsuryokuZumiFlag,A
jizenChosaFlag,bool,boolean,,,,,jizenChosaFlag,A
ninteichosaTokusokuYMD,UDD015YMD,FlexibleDate,,,,,ninteichosaTokusokuYMD,A
ninteichosaTokusokuHoho,bpchar,RString,,,,,ninteichosaTokusokuHoho,A
ninteichosaTokusokuKaisu,int2,int,,,,,ninteichosaTokusokuKaisu,A
ninteichosaTokusokuMemo,text,RString,,,,,ninteichosaTokusokuMemo,A
logicalDeletedFlag,bool,boolean,,,,,logicalDeletedFlag,A
